Product_ID,Sale_Date,Sales_Rep,Region,Sales_Amount,Quantity_Sold,Product_Category,Unit_Cost,Unit_Price,Discount,Total_Cost,Gross_Sales,Discount_Amount
1052,2023-02-03,Bob,North,5053.97,18,Furniture,152.75,267.22,0.09,2749.5,4809.960000000001,432.8964000000001
1093,2023-04-21,Bob,West,4384.02,17,Furniture,3816.39,4209.44,0.11,64878.63,71560.48,7871.6528
1015,2023-09-21,David,South,4631.23,30,Food,261.56,371.4,0.2,7846.8,11142.0,2228.4
1072,2023-08-24,Bob,South,2167.94,39,Clothing,4330.03,4467.75,0.02,168871.16999999998,174242.25,3484.8450000000003
1061,2023-03-24,Charlie,East,3750.2,13,Electronics,637.37,692.71,0.08,8285.81,9005.23,720.4184
1021,2023-02-11,Charlie,West,3761.15,32,Food,900.79,1106.51,0.21,28825.28,35408.32,7435.7472
1083,2023-04-11,Bob,West,618.31,29,Furniture,2408.81,2624.09,0.14,69855.49,76098.61,10653.805400000001
1087,2023-01-06,Eve,South,7698.92,46,Furniture,3702.51,3964.65,0.12,170315.46000000002,182373.9,21884.868
1075,2023-06-29,David,South,4223.39,30,Furniture,738.06,1095.45,0.05,22141.8,32863.5,1643.1750000000002
1075,2023-10-09,Charlie,West,8239.58,18,Clothing,2228.35,2682.34,0.13,40110.299999999996,48282.12,6276.6756000000005
1088,2023-11-16,Eve,North,8518.45,13,Furniture,2440.11,2517.6,0.23,31721.43,32728.8,7527.624
1100,2023-08-14,Bob,West,2198.74,43,Food,1100.81,1137.44,0.08,47334.829999999994,48909.920000000006,3912.7936000000004
1024,2023-11-11,Eve,West,6607.8,21,Food,622.01,641.09,0.0,13062.21,13462.890000000001,0.0
1003,2023-12-31,Alice,South,4775.59,30,Furniture,4190.28,4270.65,0.2,125708.4,128119.49999999999,25623.899999999998
1022,2023-08-17,Charlie,South,8813.55,21,Food,2537.2,2869.6,0.29,53281.2,60261.6,17475.863999999998
1053,2023-10-16,Bob,North,2235.83,48,Furniture,121.19,487.65,0.18,5817.12,23407.199999999997,4213.295999999999
1002,2023-05-30,David,North,6810.35,17,Furniture,4024.76,4420.15,0.04,68420.92,75142.54999999999,3005.7019999999998
1088,2023-10-04,Bob,East,6116.75,40,Electronics,4904.93,5034.35,0.1,196197.2,201374.0,20137.4
1030,2023-07-17,David,West,3023.48,19,Clothing,3049.33,3209.22,0.26,57937.27,60975.17999999999,15853.546799999998
1038,2023-03-11,Bob,South,1452.35,15,Clothing,2543.36,2790.1,0.07,38150.4,41851.5,2929.6050000000005
1002,2023-04-22,Eve,North,6551.23,9,Electronics,4398.16,4439.12,0.18,39583.44,39952.08,7191.3744
1064,2023-01-04,Eve,East,7412.11,10,Electronics,4764.96,5074.42,0.12,47649.6,50744.2,6089.303999999999
1060,2023-12-16,Eve,East,3224.71,44,Clothing,3784.96,4276.99,0.06,166538.24,188187.56,11291.2536
1021,2023-11-27,Alice,South,6483.84,31,Furniture,2254.99,2441.79,0.24,69904.68999999999,75695.49,18166.9176
